title,price,rating,reviews,availability
"RX 580 8GB Graphics Card, 2048SP,GDDR5,256 Bit Graphics Card for Gaming PC,PCIE 3.0,Twin Freeze Fans Computer Video Card with HDMI/DP/Ports（Style 1）",,4.0 out of 5 stars,265 ratings,In Stock
"QTHREE GT 730 4GB 64Bit DDR3 Graphics Card,2X HDMI,VGA,DP,Computer Video Cards for PC Gaming GPU,PCI E x8 2.0,Support 4 Monitors,Win11,Low Profile",,4.1 out of 5 stars,65 ratings,In Stock
Radeon RX 580 8GB GDDR5 Graphics Card White PCB for Gaming PC Video Card 2048SP 256-Bit PCIe 3.0 x16 6-Pin Connector 2 Cooling Fan Desktop Computer Gaming GPU with HDMI DisplayPort & DVI Port,,4.3 out of 5 stars,98 ratings,In Stock
"KAER RX580 8GB Graphics Card GDDR5 256bit Computer Graphics Card with Dual Fans 1284/7000MHz,PCI Express 3.0 Gaming Graphics Card, DVI HDMI DP Desktop",,4.3 out of 5 stars,147 ratings,In Stock
"Radeon RX 590 GME Graphics Card, 2304SP 8GB GDDR5 256bit PCIe 3.0 ×16 1340MHz Base Clock Gaming Video Card (Radeon RX 590 GME)",,4.3 out of 5 stars,41 ratings,Only 11 left in stock - order soon.
"GeForce GTX 1660 Ti Graphics Card, 6GB GDDR6 192bit Video Card for Gaming GPU PCIe 3.0 x16 DP HDMI DVI 1080P 2K Game PC Card 1660ti 4K 8K Display (GTX 1660 Ti - Red)",,4.1 out of 5 stars,29 ratings,In Stock
"GeForce GT 730 4G Low Profile Graphics Card, 2X HDMI, DP, VGA, DDR3, PCI Express 2.0 x8, Entry Level GPU for PC, SFF and HTPC, Compatible with Windows 11",,4.1 out of 5 stars,16 ratings,In Stock
"GeForce GT 210 1024 MB DDR3 Low Profile Graphics Card, PCI Express 1.0 x16, Entry Level GPU for PC, SFF and HTPC (HDMI/DVI/VGA)",,4.5 out of 5 stars,19 ratings,In Stock
Radeon RX 580 8GB GDDR5 Graphics Card White PCB for Gaming PC Video Card 2048SP 256-Bit PCIe 3.0 x16 6-Pin Connector 2 Cooling Fan Desktop Computer Gaming GPU with HDMI DisplayPort & DVI Port,,4.3 out of 5 stars,98 ratings,In Stock
"Yunseity GTX1050Ti Graphics Card, 4GB DDR5 128bit Gaming Graphics Card with Dual Cooling Fan, 650MHz Core Frequency, Rapid Cooling Low Noise Video Graphics Card for Desktop PC (GTX1050Ti",,2.7 out of 5 stars,5 ratings,
XUANMO AMD Radeon RX580 2048SP 8g Gpu Video Gaming AMD Graphics Card GDDR5 256-Bit Pc Gaming Video Card AMD 2XDP HDMI PCI Express 3.0 with Freeze Fan Stop for Desktop Computer Gaming Gpu…,,3.9 out of 5 stars,29 ratings,In Stock
